0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,1,3,0,0,0,2,15,15,15,15,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,5,16,16,16,16,5
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,5,16,16,16,16,5
5,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,1,2,3,17,17,17,17,5,16,16,16,16,5
5,0,0,0,5,5,0,0,0,0,0,0,0,2,17,17,17,17,17,17,4,17,17,17,5,5,5,5,5,5
5,0,0,0,0,0,0,0,0,0,0,0,2,5,17,17,17,17,17,17,17,17,1,2,5,5,5,5,5,5
5,0,0,0,0,0,0,0,0,0,0,2,5,5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,5
5,0,0,0,0,0,0,0,0,2,2,5,5,5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,5
5,2,2,2,2,2,2,2,2,5,5,5,12,5,5,5,5,5,5,5,5,5,5,5,5,15,15,15,15,5
5,5,5,5,5,5,5,5,5,5,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,5
